Price_BRL,Condo_Fee_BRL,Neighbourhood_Aux,Apt_Area_m2,Total_Rooms,Total_Baths,Garage_Spots_aux,Days_Published
579123.0,,Noroeste,48.0,1.0,1.0,0.0,10.0
1130000.0,900.0,Águas Claras,118.0,4.0,4.0,2.0,14.0
330000.0,,Park Sul,47.0,1.0,1.0,1.0,5.0
1690000.0,1500.0,Asa Sul,157.0,3.0,3.0,1.0,26.0
240000.0,387.0,Sudoeste,27.0,1.0,1.0,0.0,23.0
530000.0,,Asa Sul,43.0,1.0,1.0,0.0,18.0
475000.0,,Águas Claras,92.0,2.0,2.0,1.0,5.0
560000.0,722.0,Lago Norte,91.0,2.0,1.0,1.0,1.0
1390000.0,901.0,Asa Sul,136.0,3.0,2.0,1.0,25.0
1389000.0,880.0,Asa Sul,145.0,3.0,3.0,1.0,14.0
335000.0,,Setor Habitacional Jardins Mangueiral,50.0,2.0,1.0,1.0,4.0
1549000.0,1030.0,Noroeste,192.0,3.0,2.0,2.0,20.0
1360000.0,,Asa Sul,124.0,3.0,3.0,0.0,24.0
1250000.0,600.0,Asa Sul,77.0,1.0,2.0,1.0,12.0
2280000.0,1500.0,Sudoeste,170.0,4.0,4.0,4.0,5.0
675000.0,300.0,Cruzeiro,62.0,3.0,2.0,0.0,19.0
445000.0,500.0,Asa Sul,43.0,2.0,1.0,0.0,19.0
4223030.0,,Noroeste,301.0,4.0,6.0,4.0,8.0
650000.0,500.0,Sudoeste,60.0,2.0,1.0,0.0,14.0
620000.0,360.0,Asa Sul,54.0,2.0,1.0,0.0,10.0
2148000.0,1590.0,Asa Norte,245.0,4.0,3.0,2.0,10.0
1490000.0,1260.0,Asa Norte,197.0,3.0,2.0,1.0,20.0
2362705.0,,Sudoeste,122.0,3.0,4.0,2.0,12.0
320000.0,,Sudoeste,51.0,1.0,1.0,1.0,13.0
1500000.0,880.0,Asa Norte,209.0,3.0,3.0,1.0,25.0
1622000.0,,Asa Norte,130.0,3.0,4.0,2.0,14.0
3878267.0,,Sudoeste,230.0,4.0,6.0,4.0,2.0
1250000.0,600.0,Asa Sul,77.0,2.0,2.0,1.0,4.0
750000.0,950.0,Asa Norte,86.0,3.0,2.0,0.0,16.0
2500000.0,1250.0,Asa Norte,210.0,2.0,4.0,2.0,25.0
1750000.0,1385.0,Asa Sul,172.0,3.0,2.0,2.0,27.0
2850000.0,,Asa Sul,177.0,3.0,3.0,0.0,5.0
2156474.0,,Noroeste,113.0,3.0,4.0,2.0,20.0
2800000.0,2272.0,Noroeste,360.0,4.0,4.0,3.0,18.0
1450000.0,,Asa Sul,169.0,3.0,3.0,1.0,19.0
1890000.0,1540.0,Sudoeste,125.0,4.0,3.0,2.0,4.0
2350000.0,1800.0,Asa Norte,188.0,2.0,4.0,2.0,21.0
950000.0,,Asa Norte,76.0,2.0,2.0,1.0,26.0
840000.0,,Sudoeste,69.0,2.0,2.0,1.0,18.0
3795000.0,2680.0,Park Sul,234.0,4.0,6.0,2.0,18.0
1275000.0,,Setor De Clubes Esportivos Sul,87.0,1.0,1.0,0.0,2.0
2200000.0,1100.0,Asa Sul,221.0,4.0,2.0,1.0,27.0
3850000.0,2700.0,Sudoeste,498.0,4.0,6.0,3.0,14.0
640000.0,325.0,Asa Norte,45.0,1.0,1.0,0.0,1.0
980000.0,,Águas Claras,142.0,3.0,5.0,2.0,12.0
590000.0,,Sudoeste,58.0,2.0,1.0,0.0,28.0
780000.0,933.0,Noroeste,120.0,1.0,1.0,2.0,6.0
678000.0,,Cruzeiro,66.0,2.0,2.0,0.0,9.0
290000.0,,Asa Norte,31.0,1.0,1.0,0.0,27.0
1195000.0,,Noroeste,74.0,2.0,3.0,2.0,22.0
2840000.0,1500.0,Noroeste,173.0,4.0,6.0,3.0,18.0
2482284.0,,Noroeste,132.0,3.0,5.0,3.0,20.0
1997000.0,982.0,Noroeste,287.0,2.0,1.0,3.0,17.0
1590000.0,,Noroeste,107.0,3.0,3.0,2.0,14.0
1200000.0,1300.0,Noroeste,96.0,3.0,3.0,2.0,13.0
305000.0,,Setor Habitacional Jardins Mangueiral,50.0,2.0,1.0,1.0,12.0
600000.0,800.0,Lago Norte,104.0,1.0,2.0,1.0,14.0
4100000.0,,Noroeste,600.0,4.0,6.0,4.0,21.0
648000.0,,Asa Norte,49.0,1.0,1.0,0.0,1.0
485000.0,,Guará II,77.0,3.0,3.0,1.0,1.0
1790000.0,1900.0,Park Sul,225.0,3.0,5.0,3.0,26.0
259000.0,,Setor Habitacional Jardins Mangueiral,127.0,2.0,1.0,1.0,5.0
878315.0,,Noroeste,52.0,2.0,2.0,0.0,20.0
2250000.0,1772.0,Asa Norte,155.0,4.0,3.0,2.0,5.0
2400000.0,,Noroeste,153.0,4.0,5.0,4.0,18.0
1220000.0,,Noroeste,83.0,2.0,2.0,2.0,11.0
280000.0,,Setor Habitacional Jardins Mangueiral,50.0,2.0,1.0,1.0,16.0
3035736.0,,Park Sul,205.0,4.0,7.0,4.0,11.0
680000.0,600.0,Park Sul,106.0,1.0,2.0,1.0,27.0
1550000.0,1250.0,Asa Sul,237.0,4.0,3.0,1.0,19.0
1480000.0,1110.0,Sudoeste,98.0,3.0,3.0,1.0,30.0
1240000.0,720.0,Noroeste,80.0,2.0,2.0,2.0,26.0
1690000.0,1088.0,Asa Norte,134.0,3.0,3.0,2.0,3.0
1180000.0,880.0,Noroeste,83.0,2.0,3.0,2.0,25.0
850000.0,720.0,Asa Sul,85.0,3.0,1.0,0.0,27.0
3328246.0,,Sudoeste,172.0,3.0,6.0,3.0,3.0
384000.0,387.0,Sudoeste,22.0,1.0,1.0,1.0,9.0
590000.0,600.0,Sudoeste,59.0,2.0,1.0,0.0,10.0
1030000.0,789.0,Asa Norte,128.0,2.0,3.0,1.0,25.0
1400000.0,780.0,Noroeste,85.0,2.0,2.0,2.0,23.0
1891184.0,,Park Sul,126.0,3.0,4.0,2.0,13.0
720000.0,850.0,Águas Claras,92.0,3.0,3.0,1.0,26.0
1420000.0,1150.0,Asa Norte,100.0,3.0,3.0,1.0,11.0
3320076.0,,Sudoeste,172.0,4.0,6.0,3.0,13.0
670000.0,600.0,Sudoeste,77.0,2.0,1.0,0.0,23.0
780000.0,,Asa Norte,78.0,3.0,2.0,0.0,11.0
1229000.0,870.0,Sudoeste,87.0,3.0,3.0,1.0,13.0
1050000.0,645.0,Asa Norte,96.0,3.0,2.0,0.0,20.0
425000.0,,Asa Norte,30.0,1.0,1.0,1.0,26.0
1490000.0,1260.0,Asa Norte,196.0,3.0,3.0,1.0,20.0
1100000.0,,Park Sul,153.0,3.0,5.0,2.0,5.0
1670000.0,1200.0,Noroeste,197.0,3.0,2.0,2.0,20.0
3036605.0,,Park Sul,185.0,3.0,5.0,3.0,11.0
299000.0,,Asa Norte,26.0,1.0,1.0,1.0,26.0
1589900.0,1300.0,Asa Sul,120.0,3.0,3.0,1.0,16.0
1550000.0,1300.0,Asa Sul,147.0,3.0,3.0,1.0,9.0
1750000.0,1060.0,Sudoeste,174.0,3.0,3.0,1.0,15.0
330000.0,,Asa Norte,27.0,1.0,1.0,1.0,13.0
1750000.0,1500.0,Asa Norte,201.0,4.0,3.0,1.0,30.0
2471000.0,,Noroeste,195.0,4.0,6.0,5.0,24.0
800000.0,540.0,Asa Norte,76.0,3.0,2.0,0.0,4.0
2150000.0,,Noroeste,240.0,4.0,6.0,2.0,26.0
430860.0,365.0,Park Sul,35.0,1.0,1.0,1.0,24.0
2726342.0,,Noroeste,322.0,4.0,6.0,3.0,27.0
1942900.0,,Noroeste,125.0,3.0,4.0,2.0,24.0
698000.0,,Sobradinho,100.0,3.0,3.0,1.0,24.0
1380000.0,1086.0,Asa Norte,113.0,3.0,2.0,1.0,6.0
