Price_BRL,Apt_Area_m2,Total_Rooms,Total_Baths,Garage_Spots_aux,Asa Sul,Cruzeiro,Guará,Guará II,Lago Norte,Lago Sul,Noroeste,Octogonal,Park Sul,Setor De Clubes Esportivos Sul,Setor Habitacional Jardins Mangueiral,Setor de Hotéis e Turismo Norte,Sobradinho,Sudoeste,Taguatinga,Águas Claras
1750000.0,183.0,4.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337000.0,44.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
849000.0,82.0,2.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430000.0,172.0,2.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1780000.0,104.0,3.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
999000.0,140.0,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
510000.0,53.0,2.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270000.0,146.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1800000.0,161.0,3.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350000.0,122.0,3.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2600000.0,153.0,4.0,6.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1900000.0,118.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289000.0,24.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
649000.0,85.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
550000.0,60.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3371817.0,186.0,4.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
370000.0,33.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
749990.0,86.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2100000.0,147.0,3.0,5.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
330000.0,26.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000.0,69.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1380000.0,96.0,3.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2490000.0,229.0,3.0,5.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1250000.0,86.0,2.0,3.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
320000.0,42.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000.0,38.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
930000.0,66.0,1.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2320000.0,155.0,3.0,4.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
330000.0,27.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974455.0,129.0,4.0,5.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
830000.0,72.0,2.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390000.0,143.0,4.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
695000.0,61.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2290000.0,185.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290000.0,78.0,2.0,3.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
790000.0,80.0,3.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
900000.0,68.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3675038.0,200.0,4.0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2190000.0,147.0,3.0,5.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300000.0,77.0,2.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1199000.0,171.0,2.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
579123.0,48.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1130000.0,118.0,4.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
330000.0,47.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1690000.0,157.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000.0,27.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
530000.0,43.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475000.0,92.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
560000.0,91.0,2.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1390000.0,136.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389000.0,145.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335000.0,50.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1549000.0,192.0,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1360000.0,124.0,3.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250000.0,77.0,1.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2280000.0,170.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
675000.0,62.0,3.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445000.0,43.0,2.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223030.0,301.0,4.0,6.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
650000.0,60.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
620000.0,54.0,2.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2148000.0,245.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490000.0,197.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362705.0,122.0,3.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
320000.0,51.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1500000.0,209.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622000.0,130.0,3.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3878267.0,230.0,4.0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1250000.0,77.0,2.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750000.0,86.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500000.0,210.0,2.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750000.0,172.0,3.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2850000.0,177.0,3.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2156474.0,113.0,3.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2800000.0,360.0,4.0,4.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1450000.0,169.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890000.0,125.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2350000.0,188.0,2.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950000.0,76.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840000.0,69.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3795000.0,234.0,4.0,6.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1275000.0,87.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2200000.0,221.0,4.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3850000.0,498.0,4.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
640000.0,45.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980000.0,142.0,3.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
590000.0,58.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
780000.0,120.0,1.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
678000.0,66.0,2.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290000.0,31.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195000.0,74.0,2.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2840000.0,173.0,4.0,6.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2482284.0,132.0,3.0,5.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1997000.0,287.0,2.0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1590000.0,107.0,3.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1200000.0,96.0,3.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
305000.0,50.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
600000.0,104.0,1.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4100000.0,600.0,4.0,6.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
648000.0,49.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485000.0,77.0,3.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1790000.0,225.0,3.0,5.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
259000.0,127.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
