Price,Condo_Fee,Neighbourhood,Size_m2,Rooms,Bathrooms,Garage_Spots,Published,Description
R$ 720.000,R$ 500 Condominio,"Asa Sul, Brasília",96 m² tot.,3 quartos,2 ban.,1 vaga,Publicado há 26 dias,
R$ 1.690.000,R$ 800 Condominio,"Asa Norte, Brasília",125 m² tot.,3 quartos,3 ban.,,Publicado há 28 dias,
R$ 770.000,R$ 755 Condominio,"Asa Norte, Brasília",99 m² tot.,3 quartos,2 ban.,,Publicado há 4 dias,
R$ 750.000,R$ 1.100 Condominio,"Park Sul, Brasília",53 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 28 dias,
R$ 1.844.000,R$ 1.600 Condominio,"Asa Norte, Brasília",213 m² tot.,4 quartos,4 ban.,1 vaga,Publicado há 27 dias,"Res. Via Portal do Parque - Asa Norte, Lazer completo, 01 vaga, com elevador. Aceita proposta!! - Apartamento em ótima localização, lazer completo, próximo ao parque e ao comércio local. - Sala ampla. - Cozinha. - Lavanderia. - 4 Quartos, sendo 2 suítes. - 2 banheiros, 1 banheiro de serviço. - 1 vagas de garagem no subsolo. - 100% revestido. Condomínio com guarita, portaria 24 horas, hall social decorado, cobertura coletiva, piscina, sauna, churrasqueira, salão de festas, circuito interno de tv, 2 elevadores e quadra nova. Aceita financiamento E fgts. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024"
R$ 630.000,R$ 491 Condominio,"Lago Norte, Brasília",54 m² tot.,2 quartos,1 banheiro,1 vaga,Publicado há 16 dias,
R$ 2.800.000,,"Asa Sul, Brasília",238 m² tot.,4 quartos,"Asa Sul, sqs 111. Apartamento vazado, de canto, nascente E com vista livre! Com ampla sala, 4 quartos, 2 banheiros sociais e 1 com banheira, ampla área de serviço, 2 quartos de serviço com 1 banheiro. Conta com uma imensa suíte vazada, excelente iluminação e uma vista deslumbrante para a paisagem através de janelões, esquadria nova em alumínio em todo o apartamento, câmeras por todo o condomínio e bicicletário. Para informações ou agendamento de visitas: Victor Ver dados (WhatsApp) Italo Ver dados (WhastApp) Êxito Premium (61) Ver dados - Telefone Fixo e WhatsApp. - Instagram: @exito_premium. Site:. br. Avaliação para venda e locação; Anúncios patrocinados nos principais portais imobiliários do df. êxito premium imobiliária. Desde 1992 realizando sonhos! - 15/02/2024",,Publicado há 4 dias,"Asa Sul, sqs 111. Apartamento vazado, de canto, nascente E com vista livre! Com ampla sala, 4 quartos, 2 banheiros sociais e 1 com banheira, ampla área de serviço, 2 quartos de serviço com 1 banheiro. Conta com uma imensa suíte vazada, excelente iluminação e uma vista deslumbrante para a paisagem através de janelões, esquadria nova em alumínio em todo o apartamento, câmeras por todo o condomínio e bicicletário. Para informações ou agendamento de visitas: Victor Ver dados (WhatsApp) Italo Ver dados (WhastApp) Êxito Premium (61) Ver dados - Telefone Fixo e WhatsApp. - Instagram: @exito_premium. Site:. br. Avaliação para venda e locação; Anúncios patrocinados nos principais portais imobiliários do df. êxito premium imobiliária. Desde 1992 realizando sonhos! - 15/02/2024"
R$ 3.400.000,,"Asa Norte, Brasília",400 m² tot.,5 quartos,6 ban.,4 vaga,Publicado há 21 dias,
R$ 2.190.000,R$ 1.420 Condominio,"Noroeste, Brasília",275 m² tot.,3 quartos,1 banheiro,3 vaga,Publicado há 20 dias,"Elegante, sofisticado e pronto para morar. Apartamento vazado, com 3 suítes, sendo uma delas master (com hidromassagem), sala ampla, lavado, cozinha com área de serviço integrada, despensa, banheiro de serviço e 3 vagas de garagem, em excelente localização, próximo a quadra poliesportiva, ao parque Burle Marx e ao comércio local. Projeto de interiores feito por arquiteto; Muito bem equipado com marcenaria de excelente qualidade; O teto está rebaixado com gesso, com projeto de iluminação; Piso da sala em porcelanato acetinado, 80x80; Área íntima com piso em vinílico; Banheiros com revestimentos finos e de muito bom gosto. Sala com um belíssimo painel e espelho, armário embutido, painel para tv, bancada em laca e persianas; Suíte master ampla, bem equipada com armários, espelhos, cortina e ar condicionado, possui banheira de hidromassagem e bancada em silestone com duas cubas; 2 quartos amplos, com armários, cortinas, ar condicionado e bancadas das suítes em silestone; Cozinha muito bem equipada com armários, bancada em granito, fogão cooktop de 5 bocas, forno elétrico e coifa; Despensa com prateleiras e banheiro de serviço. O condomínio está situado em quadra já consolidada, próxima ao parque e ao comercio local já estabelecido. Agende sua visita e venha conhecer seu novo lar."
R$ 2.750.000,,"Noroeste, Brasília",166 m² tot.,3 quartos,5 ban.,3 vaga,Publicado há 14 dias,"Apartamento com 3 suítes/Canto reformado à venda na sqnw 310, Noroeste. Brasília. Sqnw 310 - Reformado, 166 m 2, Vazado, 3 Suítes! - Sala ampla com disposição para dois ambientes. - Lavabo; - 3 suítes, todos com armários planejados; - Cozinha ampla com armários planejados; - Área de serviço; - Piso em porcelanato. - 3 Vagas de garagem. - Ar condicionado vrf. -Elevador privativo. área de lazer: - Academia, - Espaço Gourmet. - Brinquedoteca. Não perca a oportunidade de viver com estilo e conforto em uma das áreas mais cobiçadas de Brasília. Entre em contato para agendar uma visita e descobrir tudo o que este imóvel tem a oferecer. Anúncio referente a unidade 208."
