Price,Condo_Fee,Neighbourhood,Size_m2,Rooms,Bathrooms,Garage_Spots,Published,Description
R$ 1.100.000,,"Asa Norte, Brasília",107 m² tot.,3 quartos,3 ban.,1 vaga,Publicado há 11 dias,
R$ 645.000,R$ 480 Condominio,"Asa Sul, Brasília",78 m² tot.,2 quartos,2 ban.,2 vaga,Publicado há 30 dias,
R$ 2.774.103.000,,"Noroeste, Brasília",363 m² tot.,4 quartos,6 ban.,4 vaga,Publicado há 14 dias,
R$ 830.000,R$ 500 Condominio,"Asa Norte, Brasília",157 m² tot.,4 quartos,2 ban.,,Publicado há 27 dias,
R$ 2.150.000,R$ 1.100 Condominio,"Asa Norte, Brasília",188 m² tot.,4 quartos,3 ban.,2 vaga,Publicado há 18 dias,
R$ 680.000,,"Asa Norte, Brasília",64 m² tot.,2 quartos,1 banheiro,,Publicado há 3 dias,
R$ 1.720.000,,"Noroeste, Brasília",120 m² tot.,2 quartos,4 ban.,2 vaga,Publicado há 12 dias,
R$ 3.490.000,,"Noroeste, Brasília",220 m² tot.,4 quartos,6 ban.,4 vaga,Publicado há 13 dias,
R$ 1.650.000,,"Noroeste, Brasília",107 m² tot.,3 quartos,1 banheiro,2 vaga,Publicado há 12 dias,
R$ 2.650.000,,"Noroeste, Brasília",200 m² tot.,4 quartos,6 ban.,3 vaga,Publicado há 27 dias,"Vendo apartamento no Park View com 04 Suítes vazado com armário de altíssimo luxo canto com vista 100% livre - o prédio tem lazer na parte de cima de uma ponta a outra - venha conferir esse belíssimo imóvel. Visitas Ver dados. -178, 00m2; -4 Qts sendo 4 suítes todas com armários e bancadas dos banheiros em mármore crema marfil; - Suíte master com closet, banheiro com banheira, nicho e bancada em mármore crema marfil com duas cubas em louça; -Ampla sala de estar e jantar; -Lavabo com bancada, piso e rodapé em mármore crema marfil; -Cozinha com armários, bancada em granito, cuba em inox com triturador de resíduos; -Área de serviço com banheiro de serviço; - dce; -3 vagas de garagem com piso em epox e tomada elétrica para carro elétrico; -Depósito no subsolo de garagem; -Apartamento de canto; -Vazado; -Vista livre para o Parque Bourl Marx; -Armários planejados no apartamento; -Roupeiro; -Ar-condicionado nos quartos e sala; -Cortinas na sala e quartos; -Projeto de iluminação; -Piso em porcelanato; - Soleiras em mármore crema marfil; -Isolamento acústico e térmico nas janelas; -º andar; com vista total livre, 100% Livre. - R$ 2. 650. 000, 00. Visitas Ver dados"
R$ 1.000.000,,"Noroeste, Brasília",80 m² tot.,2 quartos,3 ban.,2 vaga,Publicado há 21 dias,"02 quartos com fino acabamento em ótimo andar - um schow de planta com duas suites!! Apartamento - Noroeste. Visitas Ver dados. Obs. Ac imovel de menor valor! Sqnw 309 - apartamento de 02 quartos com armários com 71m2 em andar alto com varanda - linda vista - excelente apartamento com armários embutidos de altíssimo padrão no noroeste. Visitas. 01- proximidades: - centro de brasilia. - hipermercados, shopping. - fácil acesso E vias de ligações. 02- condomínio/lazer. - portaria 24H. - sistema de automação em todo O apartamento. - fachada com revestimento em granito, pastilha de porcelana E pele de vidro. - cobertura coletiva adulto: academia, sauna com mergulho integrado A piscina, spa, piscina adulto, churrasqueira adulto, espaço gourmet adulto. - cobertura coletiva infantil: brinquedoteca, piscina infantil, espaço gourmet infantil. - no térreo: salão de festas, homme cinema E playground. 03- imóvel: - 2 quartos, sendo 02 suites, banheiro social, sala de jantar, sala de estar, varanda integrada com A sala, cozinha, banheiro na area de serviço E laje técnica para condensadora de ar condicionado. - 74M² de área privativa + 1 vaga de garagem privativa + um debosito. - prédio com fino acabamento. - reforma do apartamento de muito bom gosto. 04- segurança: - monitoramento 24 horas. - portão eletrÔnico. - garagem privativa coberta. - entrada biométrica nas portarias. 05- condições iniciais para compra: - A vista ou financiamento bancário: R$ 1. 000. 000, 00. agende uma visita E garanta essa unidade. Ver dados. corretor de imoveis."
R$ 1.300.000,,"Guará II, Brasília",105 m² tot.,3 quartos,3 ban.,2 vaga,Publicado há 13 dias,
R$ 1.300.000,R$ 1.020 Condominio,"Asa Sul, Brasília",140 m² tot.,3 quartos,2 ban.,,Publicado há 4 dias,
R$ 670.000,R$ 800 Condominio,"Noroeste, Brasília",100 m² tot.,1 quartos,"Easy Noroeste. Invista de um jeito Easy. A Faenge apresenta o empreendimento feito sob medida para quem quer investir no mercado imobiliário com segurança e rentabilidade, mas sem ter que se preocupar. Prepare-se para conhecer a maneira mais fácil de lucrar com aluguel de imóveis. Prepare-se para conhecer o Easy Noroeste. Escolha a sua unidade e comece a fazer parte do grupo de investidores que decidiu lucrar junto com a Faenge. Prédio pronto. Use O seu fgts e financiamento bancário. apartamentos de 30 a 53m² lavanderia. Mais praticidade para sua rotina. Mais espaço para o que realmente importa. Transporte compartilhado. 8 bicicletas e 3 patinetes entregues ao condomínio. fechadura digital. Mais segurança no acesso aos apartamentos. lobby coworking. O espaço perfeito para o encontro de grandes ideias. Todos apartamentos com vaga verde. Infraestrutura (ponto elétrico) para instalação de carregador veicular. sala de funcionários. Espaço compartilhado de copa e vestiário. academia. estrutura de lazer. acesso biométrico. Nos espaços compartilhados. easy É investir no lugar certo E na hora certa. Localização privilegiada. Região com maior projeção de valorização no df. Umas das taxas de juros mais baixas da história. Excelente momento para investir em imóveis. Investimento descomplicado. Padrão de qualidade Faenge. 24 horas marque 9 9 8 2 9 - 5 1 4 8 whatsapp",1 vaga,Publicado há 4 dias,
R$ 850.000,,"Asa Sul, Brasília",82 m² tot.,2 quartos,1 banheiro,,Publicado há 20 dias,
R$ 899.000,,"Noroeste, Brasília",60 m² tot.,2 quartos,2 ban.,1 vaga,Publicado hoje,"Apartamento - Noroeste. Clnw 02/03 - apartamento com lazer, mobiliado, vista livre de 02 quatos ótimo andar planta muito bem distribuída, uma vaga fino acabamento. Obs. Imóvel de particular!! 01- proximidades: - centro de brasilia. - hipermercados, shopping. - fácil acesso E vias de ligações. 02- condomínio/lazer. - portaria 24H. - sistema de automação em todo O apartamento. - fachada com revestimento em granito, pastilha de porcelana E pele de vidro. 03- imóvel: - 2 quartos, sendo uma suite, banheiro social, sala de jantar, sala de estar, varanda integrada com A sala, cozinha, banheiro na area de serviço E laje técnica para condensadora de ar condicionado. - 56M² de área privativa + 1 vaga de garagem privativa. - prédio com fino acabamento. 04- segurança: - monitoramento 24 horas. - portão eletrÔnico. - garagem privativa coberta. - entrada biométrica nas portarias. 05- condições iniciais para compra: - A vista ou financiamento bancário: R$ 899. 000, 00. agende uma visita E garanta sua unidade. Ver dados. corretor de imoveis. Ver dados zap. Ver dados. Preço sujeito a aprovação, e disponibilidade da unidade!! Obs. Personalize a sua proposta, ac proposta!!"
R$ 310.000,R$ 390 Condominio,"Sudoeste, Brasília",27 m² tot.,2 quartos,1 banheiro,1 vaga,Publicado há 13 dias,
R$ 770.000,,"Park Sul, Brasília",98 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 20 dias,"Essence park sul – 2 quartos - 100% residencial. 2 quartos com 61, 60m² 2 quartos com terraço privativo – 101, 36m² combine A modernidade de uma rotina cosmopolita com A qualidade de vida de um condomínio fechado. Invista em um condomínio fechado no Park Sul. Invista na Qualidade faenge. Walking distance. Guias de viagem internacionais costumam destacar a boa localização dos hotéis a partir de um critério muito simples: a possibilidade de chegar às atrações das cidades caminhando. Quem vive no Park Sul tem isso não apenas nas férias, mas todos os dias. Conheça algumas das principais opções que estarão a poucos passos do seu novo endereço. • Park Shopping. • CasaPark. • Pão Dourado. • Carrefour. • Vitália Empório. • Extra. • Leroy Merlin. • Cinemas. • Restaurantes. • Bares. • Cinemas. • Cobasi. • Estação do Metrô • Rodoviária Interestadual. O que É essencial para você? Esta foi a pergunta fundamental que buscamos responder. ao longo do desenvolvimento do mais novo projeto da Faenge no Park Sul. Nosso objetivo era preparar um empreendimento completo, com tudo que a vida moderna exige, mas sem exageros. No Essence Park Sul, tudo foi pensado para você encontrar conforto, segurança, espaço e privacidade. Tudo na medida certa. Conheça o Empreendimento feito para quem valoriza cada detalhe e não abre mão do que é essencial. ElegÂncia E sofisticação na medida certa. Conforto E segurança são essenciais. Confort hall - Recepção elegante e acolhedora para você e seus convidados. Segurança É essencial - Seu carro protegido. Sua tranquilidade garantida. Saúde É fundamental - Encontre o espaço ideal para cuidar do seu bem estar físico e mental, todos os dias. Vaga verde - Vaga do condomínio entregue com carregador para carro elétrico. Mais tecnologia e sustentabilidade para quem vive o agora sem deixar de pensar no futuro. Tudo foi pensado para você encontrar conforto, segurança, espaço e privacidade. Tudo na medida certa. Conheça o Empreendimento feito para quem valoriza cada detalhe e não abre mão do que é essencial. Vagas privativas com infraestrutura para instalação de carregadores veiculares. espaço gourmet Receba seus convidados com mais estilo e conforto. Piscina para relaxar. A vida precisa de pausas. Aproveite o sol de Brasília. Detalhes que fazem A diferença. - Projetos de acústica, lumínico e térmico, proporcionando melhor conforto entre os apartamentos e pavimentos. - Todas as paredes são de alvenaria, mais solidez. e conforto acústico. - As paredes ente apartamentos e contíguas ás circulações, são de blocos de concreto preenchidos, muito mais privacidade para os moradores. - Vidro com tecnologia que bloqueio raios uv, reduz a entrada de calor, mas deixa a claridade entrar, protegendo sua família e seus móveis sem atrapalhar a luminosidade dos ambientes. - Acesso à portaria e ambientes de áreas comuns, por meio de sistema de biometria. - Fechadura eletrônica na porta da sala que dispensa. o uso de chave. - Manta acústica instalada no piso da academia e espaço gourmet, aumentando a privacidade dos usuários. e moradores. - Circuito interno de tv com câmeras de segurança. Padrão faenge. - Revestimentos especiais nas áreas comuns, proporcionando ambientes sofisticados e confortáveis. - Bancadas em granito branco siena escovado. - Piso dos apartamentos: 100% em porcelanato nobre de alta densidade (exceto laje técnica). - Fechadura eletrônica. - Tomadas com saída usb na sala e quartos. - Os projetos térmico, lumínico e acústico são desenvolvidos aliando alta tecnologia com simulações computacionais. Garantia de maior conforto. - Pintura Epoxi nos pisos das garagens localizadas em pavimentos cobertos. - Lobby dos elevadores com acabamento refinado. Conforto– Projeto que confere aos quartos atenuação acústica entre as unidades contíguas: maior conforto acústico para os moradores. - Piscina com sistema de aquecimento instalado. - Transporte Compartilhado: 08 Bikes entregues ao condomínio. - Laje técnica incorporada ao projeto de arquitetura, proporcionando espaço específico para instalação de condensadoras de ar-condicionado. - Infraestrutura completa (rede frigorígena) para instalação de ar-condicionado nas salas e quartos, facilitando a colocação de splits sem que seja preciso quebrar forros e paredes para a tubulação. - Cozinhas com pontos para instalação de filtro de água e lava-louça. Sustentabilidade– Elevadores sem casa de máquinas, aliando alta tecnologia e baixo consumo de energia: menor custo para o condomínio. - Sistema de descarga dos sanitários com dois níveis de acionamento: consciência e racionalidade no uso da água. - Iluminação das áreas comuns 100% led. - Sensor de ocupação nas áreas comuns para redução do consumo de energia. - Torneiras das áreas comuns com temporizadores, para redução do consumo de água. - Utilização de madeira legalizada e certificada na obra. - Gerenciamento de resíduos em todas as fases da obra. - Vaga Verde: Vaga de garagem do condomínio entregue com carregador para carro elétrico instalado. - Infraestrutura para futura instalação de carregador de carro elétrico em todas as vagas de garagem. Entrega em dezembro de 2023. Agende uma visita para conhecer o melhor da arquitetura inteligente na central de vendas faenge park sul – (em frente a padaria Pão Dourado)."
R$ 485.000,,"Asa Sul, Brasília",60 m² tot.,2 quartos,2 ban.,,Publicado há 21 dias,Apartamento vazado no terceiro andar de canto para reforma.
R$ 265.000,,"Sobradinho, Brasília",83 m² tot.,1 quartos,,1 vaga,Publicado há 20 dias,
R$ 1.065.000,R$ 800 Condominio,"Asa Norte, Brasília",93 m² tot.,3 quartos,3 ban.,1 vaga,Publicado há 26 dias,"Apartamento 206 norte prédio em reforma. -93M² -3 quartos com armários. -1 suíte. -cozinha com armários. -dce. -1 garagem coberta com bicicletário. -área de serviço. -varanda. edificio com elevador, portaria 24H E salão de festa. Valor da venda R$ 1. 065. 000. agende sua visita! 0. Ver dados"
R$ 1.700.000,,"Noroeste, Brasília",130 m² tot.,3 quartos,4 ban.,2 vaga,Publicado há 15 dias,
R$ 490.000,,"Águas Claras, Brasília",68 m² tot.,3 quartos,2 ban.,1 vaga,Publicado há 25 dias,
R$ 300.000,R$ 332 Condominio,"Asa Sul, Brasília",4645 m² tot.,2 quartos,1 banheiro,1 vaga,Publicado há 27 dias,
R$ 1.830.000,,"Asa Norte, Brasília",137 m² tot.,3 quartos,3 ban.,1 vaga,Publicado há 15 dias,
R$ 405.000,,"Asa Sul, Brasília",58 m² tot.,2 quartos,2 ban.,,Publicado há 27 dias,
R$ 1.120.000,,"Noroeste, Brasília",99 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 19 dias,
R$ 1.200.000,,"Asa Norte, Brasília",105 m² tot.,3 quartos,1 banheiro,1 vaga,Publicado há 25 dias,
R$ 1.870.000,,"Noroeste, Brasília",130 m² tot.,"03 suítes reformadissimo andar alto pronto P/ morar vista livre!! Analisa proposta! Vendo apartamento no San Felice reformadissimo - imovel é só entrar e morar em andar alto de canto - linda vista fino acabamento!! - 128, 00, 00m2; - ⁠3 qts sendo 3 suítes com armários planejados de alto padrão, cortinas e ar-condicionado; - ⁠Ampla sala de estar e jantar, com armários planejados de alto padrão, espelhos, ar-condicionado e cortinas; - ⁠Varanda gourmet com bancada em granito, armários de alto padrão e cortina de vidro; - ⁠Lavabo com espelho; - ⁠Cozinha com bancadas em mármore, cuba em inox, armários planejados de alto padrão, coifa, forno, microondas, cooktop e máquina de lava-louça; - ⁠Área de serviço com bancada em mármore e cuba em inox; - ⁠Banheiro de serviço; - ⁠Duas vagas de garagem; - ⁠Andar alto; - ⁠Apartamento de canto, com piso em porcelanato em todos os ambientes e projeto de iluminação de alto padrão; - ⁠Banheiros dos quartos com bancadas em mármore, espelhos, blindex e armários de alto padrão; - ⁠R$ 1. 850. 000, 00. Visitas Ver dados",5 ban.,2 vaga,Publicado há 27 dias,"03 suítes reformadissimo andar alto pronto P/ morar vista livre!! Analisa proposta! Vendo apartamento no San Felice reformadissimo - imovel é só entrar e morar em andar alto de canto - linda vista fino acabamento!! - 128, 00, 00m2; - ⁠3 qts sendo 3 suítes com armários planejados de alto padrão, cortinas e ar-condicionado; - ⁠Ampla sala de estar e jantar, com armários planejados de alto padrão, espelhos, ar-condicionado e cortinas; - ⁠Varanda gourmet com bancada em granito, armários de alto padrão e cortina de vidro; - ⁠Lavabo com espelho; - ⁠Cozinha com bancadas em mármore, cuba em inox, armários planejados de alto padrão, coifa, forno, microondas, cooktop e máquina de lava-louça; - ⁠Área de serviço com bancada em mármore e cuba em inox; - ⁠Banheiro de serviço; - ⁠Duas vagas de garagem; - ⁠Andar alto; - ⁠Apartamento de canto, com piso em porcelanato em todos os ambientes e projeto de iluminação de alto padrão; - ⁠Banheiros dos quartos com bancadas em mármore, espelhos, blindex e armários de alto padrão; - ⁠R$ 1. 850. 000, 00. Visitas Ver dados"
R$ 270.000,,"Asa Norte, Brasília",1000 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 25 dias,
R$ 1.030.000,R$ 789 Condominio,"Asa Sul, Brasília",127 m² tot.,2 quartos,3 ban.,1 vaga,Publicado há 3 dias,"1. Apartamento com 79m² de área privativa. 2. Sala com dois ambientes e varanda integrada, cozinha planejada, área de serviço e dce (Escritório). 3. 02 quartos com armários planajados sendo 1 suíte com varanda e ar-condicionado. 4. 1 Vaga de garagem com armário. 5. Localização privilegiada próximo do parque Olhos Dágua. Monumental Agência Imobiliária. Um novo conceito para o mercado!"
R$ 580.000,R$ 450 Condominio,"Asa Sul, Brasília",62 m² tot.,2 quartos,1 banheiro,,Publicado há 2 dias,"• sqs 415 9. 9. 2. 9. 8. 8. 9. 4. 8. • Apartamento no primeiro Andar Reformado. • Sala ampla. • 2 Quartos. • Armários planejados. • Projeto de iluminação. • Vazado. • Nascente. • Área de serviço. • Vista livre. • Armários nos Quartos e na Cozinha. • Bicicletário. • Localização privilegiada: próximo ao Carrefour bairro 24 horas, Big Box 24 horas, Capuccino Cafeteria, Padarias e Farmácias…. • Agende sua visita. • (61) 9. Ver dados WhatsApp"
R$ 3.100.000,R$ 2.930 Condominio,"Asa Norte, Brasília",134 m² tot.,4 quartos,3 ban.,3 vaga,Publicado há 19 dias,
R$ 550.000,,"Noroeste, Brasília",77 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 4 dias,
R$ 1.300.000,,"Asa Sul, Brasília",138 m² tot.,3 quartos,3 ban.,1 vaga,Publicado há 28 dias,
R$ 750.000,,"Park Sul, Brasília",70 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 19 dias,
R$ 440.000,R$ 460 Condominio,"Águas Claras, Brasília",100 m² tot.,1 quartos,2 ban.,1 vaga,Publicado há 27 dias,"Apartamento duplex cobertura em Águas Claras. Excelente localização na entrada da cidade. Apartamento reformado com excelente acabamento e móveis planejados de ótima qualidade em todos os ambientes. Ficam na cozinha forno elétrico, depurados de ar e cooktop. Primeiro piso: sala ampla, banheiro social, cozinha ( com tanque e área para máquina de lavar). Piso porcelanato. Segundo piso: quarto com suíte ( com possibilidade para dividir em 2 quartos). Piso vinílico. 1 vaga de garagem coberta. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024"
R$ 622.000,,"Noroeste, Brasília",50 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 27 dias,
R$ 755.000,,"Noroeste, Brasília",80 m² tot.,2 quartos,,1 vaga,Publicado há 17 dias,
R$ 3.100.000,,"Noroeste, Brasília",250 m² tot.,4 quartos,6 ban.,3 vaga,Publicado há 26 dias,
R$ 1.850.000,R$ 1.200 Condominio,"Noroeste, Brasília",145 m² tot.,2 quartos,4 ban.,2 vaga,Publicado há 19 dias,
R$ 1.210.000,R$ 920 Condominio,"Noroeste, Brasília",110 m² tot.,2 quartos,2 ban.,2 vaga,Publicado há 21 dias,"Apartamento de alto padrão - pronto para morar!! Imóvel reformado com excelente projeto de arquiteto com projeto de iluminação em todos os ambientes, sendo: - cozinha integrada com a sala com armários Movine, bancadas de Silestone, torre quente, cooktop e coifa instalados; - área de serviço com fechamento; - sala de jantar com lustre; - sala de tv com rack. - quarto com muita marcenaria; - banheiro social espaçoso com nicho no box; - suíte master com closet e banheiro espaçoso; - 2 vagas de garagem com excelente localização no primeiro subsolo; O condomínio Reserva Malbec é composto por: •Piscina. •Academia equipada. •Churrasqueira. •Espaço Gourmet. •Salão de Festas. venha conhecer! * agende sua visita!! Diogo azeredo - Ver dados. creci 19. 851. oab/df 41. 912. rogério azeredo - Ver dados. creci 25. 960"
R$ 540.000,R$ 800 Condominio,"Noroeste, Brasília",80 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 4 dias,
R$ 1.190.000,R$ 618 Condominio,"Noroeste, Brasília",87 m² tot.,2 quartos,,1 vaga,Publicado há 2 dias,
R$ 430.000,R$ 467 Condominio,"Noroeste, Brasília",69 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 29 dias,"Apartamento de 1 Quarto no Ed. Topazio e Rubi clnw no Noroeste. Prédio da novo, com altíssimo padrão de acabamento, planta garden com 1 Quarto sendo suíte, espaço amplo para armários, cozinha e uma linda varanda para contemplar os melhores momentos em família. Diferenciais: - Todo no Porcelananto 60x60. - 2 Pontos de Ar- condicionado. - Cooktop já entrega na Cozinha, a parte isso. - Banheiro 100% revestido com chuveiro,. - Varanda Garden. diferenciais do prédio. - Acabamento. - Bicicletário. - Lavanderia pode fazer não tem. - Sala boa. - Área na garagem vinculado ao apartamento para colocar armários. Agende sua visita A este incrível apartamento no noroeste"
R$ 1.450.000,,"Noroeste, Brasília",108 m² tot.,3 quartos,3 ban.,2 vaga,Publicado há 30 dias,"Apartamento - Noroeste. sqnw 311 - apartamento novo com 03 quartos sendo uma suíte, em ótimo andar, planta muito bem distribuída- venha conferir esse belíssimo imóvel- visita. Ver dados. 01- proximidades: - centro de brasilia. - hipermercados, shopping. - fácil acesso E vias de ligações. 02- condomínio/lazer. - portaria 24H. - sistema de automação em todo O apartamento. - fachada com revestimento em granito, pastilha de porcelana E pele de vidro. - cobertura coletiva adulto: academia, sauna com mergulho integrado A piscina, spa, piscina adulto, churrasqueira adulto, espaço gourmet adulto. - cobertura coletiva infantil: brinquedoteca, piscina infantil, espaço gourmet infantil. - no térreo: salão de festas, homme cinema E playground. 03- imóvel: - 3 quartos, sendo uma suite, banheiro social, sala de jantar, sala de estar, varanda integrada com A sala, cozinha, banheiro na area de serviço E laje técnica para condensadora de ar condicionado. - 108M² de área privativa + 2 vagas de garagem privativa. - prédio com fino acabamento. - reforma do apartamento de muito bom gosto. 04- segurança: - monitoramento 24 horas. - portão eletrÔnico. - garagem privativa coberta. - entrada biométrica nas portarias. 05- condições iniciais para compra: - A vista ou financiamento bancário: R$ 1. 450. 000, 00. agende uma visita E garanta sua unidade. Ver dados. corretor de imoveis. Ver dados zap. Ver dados. Preço sujeito a aprovação, e disponibilidade da unidade!!"
R$ 800.000,R$ 700 Condominio,"Asa Norte, Brasília",74 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 19 dias,
R$ 320.000,R$ 390 Condominio,"Asa Norte, Brasília",30 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado hoje,"Imóveis do df disponibiliza para venda: sgan 912 - 1 quarto - 30 M² -mobiliado. O apartamento fica no 2° andar, nascente, vista livre para dentro da Quadra. Apartamento mobiliado porteira fechada, reformado com 1 quarto, suite, 1 wc, 1 vaga de garagem coberta. Armários planejados em todos os cômodos e todo no porcelanato. Ar condicionado, elevador, condomínio 390, 00 com água e gás incluso. Obs: aceita financiamento e fgts. Marque sua visita: (61) 3026. 03Ver dados. Obs: Os preços e condições aqui divulgados, podem sofrer alterações sem prévio aviso, bem como a unidade aqui apresentada, pode não estar disponível para venda. Consulte o corretor para informações atuais. A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga(s) de garagem anunciada(s) que deverá(ão) ser confirmada(s) , pois se trata de vaga vinculada, área comum ou estacionamento público cercado."
R$ 1.350.000,R$ 1.200 Condominio,"Noroeste, Brasília",100 m² tot.,3 quartos,3 ban.,2 vaga,Publicado há 7 dias,"O Park Sul vai ganhar um novo estilo de vida. Um empreendimento para todas as idades. Vai integrar o espaço que você precisa com o custo que você quer pagar. Vai integrar conforto e lazer, residencial e lojas, comércio e serviços. O projeto vai integrar sustentabilidade, acessibilidade e inovação. Estar bem integrado com o meio ambiente é saber usar com consciência os recursos que temos. No exclusive park sul, ideias e soluções sustentáveis marcam presença em diversos espaços e serviços do condomínio, tornando a preservação ambiental um novo estilo de vida. Projeto: Tipologia: 2 e 3 quartos e Lojas. Metragem: Apartamentos de 64 a 87m² plantas. park sul, Quadra 15, Conjunto A, Lotes 01, 03, 05 e 07. Perto deste empreendimento tem: Em localização privilegiada, entre a Asa Sul e o Sudoeste, o Park Sul se consolida como referência de moradia e trabalho. Atualmente, uma das regiões mais procuradas por quem deseja morar ou investir em imóveis. Além de estar próximo ao aeroporto, está cercado por ótimos restaurantes, cinemas, supermercados, shoppings e pertinho da estação do metrô. Descrição: 29 apartamentos de 2 quartos de 64, 04 m2 ou 64, 28 m² 15 apartamentos de 3 quartos de 87, 60 m2 ou 88, 10 m² 6 lojas que totalizam 1. 001, 92 m² • 1 Vaga de garagem de todos os apartamentos com ponto de carregamento elétrico. (tomada de 20A e medição individualizada) ; • Aquecimento solar; • Reaproveitamento da água das chuvas para irrigação e/ou limpeza de áreas comuns; • Reúso da água do chuveiro para irrigação e/ou limpeza de áreas comuns; • Sensor de presença nas áreas comuns, reduzindo consumo de energia elétrica; • Uso de madeiras certificadas ao longo da obra; • Caixas de descarga com duplo acionamento, reduzindo consumo de água. • Portaria Remota/Virtual reduzindo o custo de mão de obra e aumentando a segurança através da tecnologia; • Transporte compartilhado (8 bikes e 3 patinetes elétricos entregues ao condomínio) ; • Ferramentaria compartilhada; • Sala de funcionários compartilhada; • Apartamento com vaga para carro elétrico; • Self Storage (armários para todos os apartamentos na área comum) ; • Apartamentos com fechadura eletrônica. • Todos os apartamentos são adaptáveis (com medidas acima do padrão para. facilitar a acessibilidade) . O projeto permite acesso a quartos, sala, banheiros. (suíte e social) e cozinha através de cadeira de rodas ou andador; • A planta do apartamento foi pensada para facilitar a locomoção. (layout desenvolvido com base nas necessidades dos pnes) ; • Áreas comuns com acessibilidade; • Possibilidade de contratação de pacote de acessibilidade dos banheiros. (kit com botão de pânico, barras de apoio, tampa de vasos e metais. que atendam à nbr 9050) , sem custo adicional; • Piscina acessível através de rampa molhada."
R$ 538.000,R$ 600 Condominio,"Sudoeste, Brasília",61 m² tot.,2 quartos,1 banheiro,,Publicado há 11 dias,
R$ 1.890.000,R$ 1.750 Condominio,"Park Sul, Brasília",121 m² tot.,4 quartos,5 ban.,2 vaga,Publicado há 7 dias,"Oportunidade! Apartamento à venda no Park Sul. Localização Privilegiada ao Lado do Casa Park e Park Shopping. - Condomínio Ilhas Mauricio Residence & Resort. Planta com 4 quartos, sala ampla, varanda gourmet, duas suítes, duas semi-suítes, lavabo, suíte master com closet, banheiro na área de serviço. - Apartamento recém reformado com vista livre. Apartamento rico em armários planejados; Piso porcelanato porcelanato Portobello; Fechadura digital na porta social; Bancadas em granito; Ar-condicionado instalados nos quartos e sala; Armários planejados na cozinha, quartos; Banheiros com nichos e blindex. - Um condomínio com ambiente totalmente familiar com mais de 40 itens de lazer para sua família. Obs. : Analisamos proposta e possibilidade de imóvel de menor valor. Agende sua visita: (61) 9. 8100. 0794. (61) 9. 9956. 2121. - Exija o Creci do corretor e consulte para ter certeza que o profissional é credenciado ao Creci-df. Obs. : Avaliamos e vendemos seu imóvel. Tags. : #Vendoapartamentosparksul #2quartosparksul #sudoeste #octogonal #coberturalinearnoParkSul #coberturalinearembrasilia #apartamentodequatroquartosembrasilia #apartamentodetresquartosnoparksul #apartamentodedoisquartosembrasilia #coberturaduplexnoparksul #coberturaduplexembrasiliaparksulprimeresidence #ilhasmauricioparksul #ilhasmauricioresidence #livingparksul #apartamentosproximoaoaeroportodebrasilia #superquadraparksul #superquadralivingparksul #vistaparksul #parkstudios #apartamentodeumquartonoparksul #apartamentonosudoeste #lancamentodequatroquartosnoparksul #apartamentonovosembrasilia #apartamentosproximoaosetorhospitalaembrasilia #apartamentosproximosaoparkshoppingembrasilia #apartamentosproximosacolegioembrasilia #apartamentosproximoaolagoembrasilia #apartamentopertodesupermercadosembrasilia #apartamentoscomlazercompletoembrasilia #apartamentocomlazercompletonoparksul #apartamentoscomsegurancaembrasilia #casanlagosul #casanolagosulempontadepicoleseco #sudoesteembrasilia #asasul #asanorte #cruzeirovelho #cruzeironovo #condominiofechadonoparksul #eleganceparksul #excellenceparksul #vistaparksul. - 19/02/2024"
R$ 695.000,R$ 1.000 Condominio,"Asa Sul, Brasília",46 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 13 dias,
R$ 1.590.000,R$ 1.000 Condominio,"Asa Norte, Brasília",156 m² tot.,3 quartos,3 ban.,2 vaga,Publicado há 21 dias,
